p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
8.02608925901152e-52	1.25061409322636	0.953	0.732	2.69178981568728e-47	CD96	CD4 TEM
4.10282669015735e-35	1.6299865209468	0.339	0.098	1.37600601534497e-30	CD160	CD4 TEM
1.23730594193212e-31	-2.90498499771961	0.109	0.474	4.14967666805194e-27	CD28	CD4 TEM
7.40310759103291e-31	2.32126002442014	0.202	0.046	2.48285422388062e-26	KIR2DL4	CD4 TEM
6.27660598304218e-28	1.31609319319863	0.335	0.114	2.10504811459269e-23	XCL2	CD4 TEM
9.24801563407525e-27	-1.70313903803457	0.486	0.686	3.10159948335616e-22	CD27	CD4 TEM
4.22097049210443e-26	2.39454643157927	0.175	0.04	1.41562908364199e-21	AC068775.1	CD4 TEM
6.27946115111408e-24	-0.898629432860176	0.868	0.93	2.10600568086064e-19	CD2	CD4 TEM
8.14380839954789e-24	0.994855167427842	0.311	0.108	2.73127046104037e-19	XCL1	CD4 TEM
1.6291851899193e-23	2.2466529706656	0.218	0.063	5.46396128995133e-19	KLRC2	CD4 TEM
1.29686890165731e-21	1.11928019737674	0.638	0.379	4.34943892237828e-17	HOPX	CD4 TEM
6.15879283420236e-19	3.24052875230728	0.058	0.007	2.06553594073479e-14	DRAXIN	CD4 TEM
7.41126499688896e-19	1.57683004742704	0.233	0.08	2.48559005465662e-14	KLRC3	CD4 TEM
1.94509777133455e-18	3.61904037556101	0.039	0.003	6.52346890550183e-14	KIR3DL3	CD4 TEM
2.23760446124786e-18	3.5121251716445	0.043	0.004	7.50447784213306e-14	AC104958.1	CD4 TEM
4.59512342747065e-18	5.84143279689746	0.012	0	1.54111249510511e-13	APOC2	CD4 TEM
3.21849760001036e-16	0.993700061453444	0.564	0.341	1.07941972509147e-11	ITGA1	CD4 TEM
2.14838022271511e-15	2.30227398578943	0.101	0.023	7.20523759094193e-11	SPECC1	CD4 TEM
2.43534802417958e-15	1.14438678893192	0.412	0.216	8.16767020349348e-11	TMIGD2	CD4 TEM
