Follicular helper T cells	Type 1 helper T cells	Trm cytotoxic T cells	Tem/Trm cytotoxic T cells.1	Type 1 helper T cells.1	Regulatory T cells.1	Regulatory T cells	Tcm/Naive helper T cells	Tem/Trm cytotoxic T cells	Plasmablasts	Cycling T cells	gamma-delta T cells
Glycolysis / Gluconeogenesis	0.668183701914938	0.743563029015963	0.871803978716594	0.81475156507658	0.808953419359343	0.937732977327565	NA	0.59644398113239	1.07368211215298	1.58417242386509	1.77732372903073	1.11318823337585
Citrate cycle (TCA cycle)	0.672875140208137	0.745469031001764	0.913384630188052	0.784412128413152	0.763577574975637	0.914990258344406	NA	0.655217867754019	1.08822125557326	1.65467832898122	1.70151607335096	1.09850856034894
Pentose phosphate pathway	0.684427120333192	0.689319472364173	0.816770470023664	0.736913836367291	0.72411920673327	0.934295463540797	1.04872007575929	0.680052295380347	NA	1.6592107934303	1.92506009814055	1.08820219513581
Pentose and glucuronate interconversions	0.790227503843213	0.728746875699133	0.824154080847917	0.722785667936106	0.735913343010283	0.842991282992506	NA	0.753312935088573	0.93336388722364	1.88057815624317	1.71093236621147	1.07597028488442
Fructose and mannose metabolism	0.722075330473625	0.764789195984593	0.929937288798274	0.780422525666337	0.850040995235171	0.943716879194764	1.08273319885135	0.696818249743796	NA	1.43434494926455	1.66004006615595	1.09143661921144
Galactose metabolism	0.742503387705943	0.816393196372135	0.902875151556804	0.871232319743955	0.931337498207395	0.950291619946249	1.09988909854332	0.662935876113269	NA	1.50032577000842	1.37917636098685	1.12732356619026
Ascorbate and aldarate metabolism	0.68042380182816	0.684959957444361	0.878970383373929	0.764821236524662	0.680105314735642	0.809224252917116	1.07954374307331	0.647620208235756	NA	1.36907414661457	1.7500534105405	1.67613445378531
Starch and sucrose metabolism	0.789920809657453	0.80244067188489	NA	0.89004827360233	0.86521925930185	NA	1.1710901603304	0.681997952709801	1.07590693994611	1.1712019604212	1.33828079916364	1.24340476048508
Amino sugar and nucleotide sugar metabolism	0.782411633407493	0.836836285109301	0.956196568094801	0.840020281913545	0.909625204775752	0.911052610487943	NA	0.691405813816421	NA	1.31273531357754	1.54653067490203	1.17660045504905
Pyruvate metabolism	0.716052558094846	0.790894348551386	0.868162075088075	0.758950292764078	0.814950660817238	0.921745805427742	0.941881432380379	0.703175073847631	NA	1.69559162528033	1.71245101506592	1.08531238627864
Glyoxylate and dicarboxylate metabolism	0.656012448105116	0.710493719824251	0.820266484118639	0.772266904305863	0.751523838582004	0.888867633015697	NA	0.658833694583935	NA	1.91107677075807	1.84955457006545	NA
Propanoate metabolism	0.764119875130259	0.78505370082798	0.929403554278541	0.810684890657756	0.802802535726418	0.938555320678438	1.15613945713733	0.749780726667406	1.09037328975597	1.31515531587095	1.54637966129188	1.11155167197708
Butanoate metabolism	0.790483480929128	0.737178988622109	0.816605092620366	0.709476845239225	0.776442231633544	0.797582014802454	1.08617788841302	0.871331484478312	0.930179879019086	1.6371620601481	1.78684166697982	1.06053836711484
Inositol phosphate metabolism	0.842955635763075	0.805988498286472	0.940564795251449	0.915344451138308	0.831865670635379	NA	1.2092062016518	0.774183320648964	NA	1.29783225242843	NA	1.23939057076119
Oxidative phosphorylation	0.715055140473693	0.754309063539871	0.849143409763289	0.815223136161271	0.768554227490303	NA	1.12434727867915	0.726515712025382	1.12591972228423	1.56245166354147	1.60869410188267	0.919785007563509
Nitrogen metabolism	0.884929961126853	0.934495058897278	NA	1.2131536721453	0.911421324214348	NA	NA	0.797576545473496	NA	NA	NA	1.1540200815721
Sulfur metabolism	0.691805482560053	0.802848911836813	0.820752821938534	0.840537185100218	0.887220316915506	1.07294283649832	1.10358169478801	0.690570162927406	1.19888398020514	1.33638681591865	1.51270936932353	NA
Fatty acid biosynthesis	0.777582011238632	0.835117639239981	NA	0.810590760252943	0.862354880605079	0.816921864336919	NA	0.830041329013315	NA	1.30460633838221	1.68611972865796	1.11341212210675
Fatty acid elongation	0.763582415414945	0.781555165657219	0.874961605853361	0.882216273303709	0.831625790745981	0.939295541238865	1.03228395292034	0.75596185128978	NA	1.54463517352002	1.5357616205111	NA
Fatty acid degradation	0.682848378826426	0.75302942293679	0.862013317110979	0.874202851834663	0.766550426571807	0.936735762402931	1.08002707313864	0.652241668850991	1.14806267446273	1.53476509650868	1.54037149642374	1.16915183093163
