Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	75/158	8.02677620202963e-103	1.5170607021836e-100	101.550774526678	23872.909634936	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	77/232	1.05089731434632e-90	9.9309796205727e-89	56.2675741189633	11657.6855955998	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;NFKBIA;RPL37A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Antigen processing and presentation	14/78	7.94159354091902e-13	5.00320393077898e-11	18.2470868644068	508.391069366352	CD74;HSP90AA1;HSPA8;CALR;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CD8B;CD8A;PSME2;PSME1;HSP90AB1	3	KEGG_2021_Human
Parkinson disease	19/249	3.73058207431464e-10	1.41016002409093e-08	6.98061358930924	151.544141447628	CALM1;COX8A;DUSP1;TUBB;ATP5F1E;COX6C;COX7C;RPS27A;PSMA7;TUBA1B;COX6A1;ATP5MC3;ATP5MC2;UBC;UBB;COX4I1;SLC25A6;UBA52;SLC25A5	4	KEGG_2021_Human
Salmonella infection	19/249	3.73058207431464e-10	1.41016002409093e-08	6.98061358930924	151.544141447628	PFN1;MYL12B;ACTB;S100A10;MYL12A;RHOA;TUBB;PTPRC;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;ACTG1;HSP90AA1;NFKBIA;GAPDH;HSP90AB1	4	KEGG_2021_Human
Prion disease	17/273	6.59331271502281e-08	2.07689350523218e-06	5.55589458154506	91.8646325207452	COX8A;TUBB;ATP5F1E;COX6C;COX7C;PSMA7;TUBA1B;RAC2;COX6A1;CYBA;ATP5MC3;ATP5MC2;HSPA8;COX4I1;SLC25A6;SLC25A5;CCL5	6	KEGG_2021_Human
Glycolysis / Gluconeogenesis	9/67	1.46717017294128e-07	3.96135946694146e-06	12.6790671054514	199.502079929987	TPI1;ALDOA;LDHB;LDHA;PGK1;PGAM1;PKM;GAPDH;ENO1	7	KEGG_2021_Human
Diabetic cardiomyopathy	14/203	2.84512912446417e-07	6.7216175565466e-06	6.13967357187696	92.5401513117386	COX8A;ATP5F1E;COX6C;COX7C;RAC2;PPP1CA;COX6A1;CYBA;ATP5MC3;ATP5MC2;COX4I1;SLC25A6;SLC25A5;GAPDH	8	KEGG_2021_Human
Shigellosis	15/246	5.20498083508043e-07	1.09304597536689e-05	5.39347886156397	78.0354390483316	PFN1;MYL12B;ACTB;MYL12A;RHOA;ARPC1B;RPS27A;ARPC3;ARPC2;ACTG1;UBC;UBB;NFKBIA;UBA52;CCL5	9	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	14/219	7.13493927631027e-07	1.34850352322264e-05	5.65584952459694	80.0477581549585	RAN;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CALR;CD3E;CD3D;FOS;ZFP36;NFKBIA;SLC25A6;SLC25A5	10	KEGG_2021_Human
