Gene	Expression
1	RNR2	219.417926993775
2	B2M	186.203561486228
3	ACTB	135.871170392708
4	MALAT1	127.778958895488
5	TMSB4X	110.450150928137
6	EEF1A1	101.636297250527
7	RPL41	93.663317673232
8	CXCL13	93.6203232535604
9	RPLP1	83.3238375135901
10	RPS27	82.7072578693948
11	HLA-C	74.2254274325608
12	TMSB10	66.0483787523756
13	RPL10	62.7801216127883
14	HLA-A	58.0997382329177
15	COX1	55.4311511414666
16	RPL28	53.9555672004974
17	RNR1	53.0354132364559
18	RPL39	52.5547735560504
19	COX2	50.0143620881703
20	RPS15A	49.6232189293518
21	RPS19	48.701342000331
22	RPS26	47.7137312839576
23	GAPDH	47.214374156652
24	RPL13	44.8891373486179
25	RPL30	40.9683178587858
26	HSPA1A	39.9152525076504
27	RPS12	38.8362926472839
28	JUN	38.5614014596535
29	DUSP1	38.272155557752
30	RPL32	38.0365761403215
31	RPS18	37.7230543858406
32	RPS4X	37.2894306007924
33	RPL11	36.0996759367653
34	RPL19	35.9052393126619
35	RPS3	35.6866933444197
36	JUNB	35.163781646551
37	RPL34	34.4781524036972
38	FTH1	34.0388756418273
39	TPT1	33.4804151247343
40	DNAJB1	33.4541712768605
41	RPS27A	33.3208056387824
42	RPL18A	33.157694314341
43	FOS	32.3754493724643
44	ACTG1	32.3554532864651
45	RPL12	32.1437008686332
46	PFN1	30.5062769134421
47	RPS23	29.6343263316273
48	RPS15	29.5213810966911
49	PTMA	29.1942314638423
50	SRGN	28.9964728511009
51	RPS24	28.3115187152343
52	RPL26	28.1674503461813
53	RPS8	27.3573291817207
54	SH3BGRL3	26.9130038343215
55	RPS14	26.7762557076695
56	RPS21	26.2735239933288
57	RPS3A	26.2370886488017
58	ATP6	26.0099488362564
59	RPS7	24.695048706297
60	RPL7A	24.4481535656596
61	RPL37	24.313735348362
62	RPL6	24.0763864595202
63	FAU	23.8871561168933
64	RPL36	23.6886893883354
65	ND3	23.5168207686153
66	RPS13	23.1629337301124
67	RPL35A	23.128550522293
68	RPS29	23.0998286457614
69	RPL8	23.0451604526613
70	HSPA1B	22.7885218005263
71	RPL29	22.7015225418771
72	UBC	22.402315912876
73	RPL18	22.3398082088691
74	EIF1	22.3104137572402
75	RPS25	22.172588176889
76	RPL3	21.6184339181273
77	S100A4	21.5660685475595
78	BTG1	21.3492071573898
79	CCL4	20.8309630980433
80	RPLP0	20.5357979413576
81	FXYD5	20.3304086334231
82	ND4L	20.1204524692393
83	ND4	19.7382007154703
84	ATP8	19.5786197134941
85	RGS1	19.5318590002736
86	H3F3B	19.3519904137469
87	ZFP36L2	19.3363434657806
88	RPL15	19.1305517891794
89	RPS9	18.9432468062203
90	RPS6	18.9427110507058
91	TSC22D3	18.7290769060123
92	CD74	18.5423695057143
93	ZFP36	18.2180237157067
94	CFL1	18.1641651545115
95	RPL14	18.0806705947732
96	RPL5	17.7789591961315
97	SERF2	17.4966074722507
98	CD7	17.3544904591298
99	HLA-H	17.1958627489871
100	IL32	17.0131411149689
101	HSPA8	16.890983737968
102	COX3	15.9819070387392
103	CYTB	15.9605179125191
104	RPLP2	15.8980818776245
105	HSP90AA1	15.7509412611777
106	SARAF	15.51026787662
107	MYL6	15.2694544807576
108	RPL24	14.7639067512973
109	RPS2	14.7020357160859
