Gene	Expression
1	ACTB	243.13144340454
2	TMSB4X	159.562494609373
3	B2M	131.712092215694
4	EEF1A1	79.0989275982696
5	MT-CO1	77.2023127429617
6	RPLP1	74.1878096384577
7	MT-CO2	72.0882065537434
8	ACTG1	71.1676572510998
9	GAPDH	68.8892730248486
10	HLA-B	64.5062965969455
11	PFN1	63.3524558164442
12	MALAT1	54.9544151152539
13	TMSB10	51.3521158498039
14	PTMA	49.855139320155
15	MT-CO3	49.3574056244312
16	GNLY	47.432941140833
17	RPL28	45.6660227560804
18	RPL10	43.2595539494381
19	CCL4	40.357426445405
20	RPS15A	39.0795091000678
21	RPS12	38.1065083640148
22	RPLP0	37.8342631658451
23	RPL13	37.5248987713221
24	TUBA1B	37.5020506848657
25	RPS19	36.28836978475
26	RPS3	35.4312024816147
27	HMGN2	34.6399801952145
28	HIST1H4C	34.1641687529629
29	RPS2	34.0806576520621
30	CFL1	33.8165913378145
31	HLA-A	33.449547294856
32	RPS8	32.1219723721562
33	TPT1	31.3695000278032
34	CCL5	30.8920132522824
35	RPS18	30.5708206473007
36	HMGB1	29.9682317043676
37	RPS27	29.9407556522883
38	RPL19	29.6347741366073
39	RPS4X	29.1424253577962
40	MT-ND4L	29.0523444208069
41	IL32	28.6126646939801
42	SH3BGRL3	28.5237312282431
43	RPL32	28.0479508759855
44	TUBB	27.5563858979381
45	RPS3A	27.3715052036102
46	RPL18A	27.2230809313333
47	MT-ATP6	27.1884260122652
48	PPIA	27.0451700964167
49	RPS15	26.9103798207615
50	RPL11	26.5728756509123
51	RPSA	25.8655197310362
52	RPS27A	25.822918262676
53	RPL7A	25.34543487805
54	MT-CYB	25.1904773221774
55	CD74	24.5022470539236
56	RPS6	24.1666715883112
57	RPS23	24.1300380800631
58	RPS24	24.0456797240726
59	ARHGDIB	23.9498632051302
60	RPL26	23.9247562757754
61	HLA-C	23.7346107524847
62	COTL1	23.4510112449878
63	RPS7	23.4217940590852
64	RPL30	23.0956267265742
65	GZMB	23.0077975411625
66	VIM	22.8861535838836
67	HMGB2	22.8165275836161
68	CORO1A	22.6948523650752
69	HSPA8	22.571751149116
70	RPL29	22.323246178277
71	CD52	22.2845349026001
72	RPL37	22.1718922631809
73	RPL39	22.0339428814351
74	RPS14	21.9375988775601
75	GZMA	21.5076457482817
76	RPL15	21.3437418317044
77	RPS28	21.1998558781308
78	RPL8	21.0285299397292
79	RPLP2	20.838127550935
80	H3F3B	20.6999642083397
81	FTH1	20.6032365301969
82	RPL18	20.5532913682122
83	RPS13	19.9701108411632
84	STMN1	19.8087740400782
85	MT-ATP8	19.8075798321625
86	RPL6	19.6762058236691
87	RPL23A	19.6559830224272
88	MYL6	19.6523908309283
89	RPL12	19.1326561704644
90	RPL3	19.0272460482346
91	HSP90AA1	18.7973479686032
92	RPS26	18.1971493008715
93	RAC2	17.707674685089
94	RPL14	17.3425795494044
95	H2AFZ	17.1801380027785
96	RPL34	17.116409583741
97	FAU	17.0251699275537
98	RACK1	16.9252342984982
99	ARPC2	16.5683124204291
100	RPS16	16.5650564916236
101	RPS9	16.4905944894824
102	EIF1	16.1426784611614
103	RPS25	16.13750600877
104	RPL35A	15.8803692884288
105	HNRNPA2B1	15.8142305018735
106	HNRNPA1	15.3635283959461
107	RPS21	15.2914120709442
108	RPS5	15.0723835299601
109	RPL17	14.6194966761486
110	S100A4	14.2082033778654
111	H3F3A	14.0368571904661
112	NKG7	13.9511331950068
113	SERF2	13.7494741352998
114	MYL12A	13.7186084978776
115	RPL10A	13.387631084067
116	CRIP1	13.1216569366322
117	CD8A	13.1114954436345
118	RPL5	12.9558382280666
119	RPL35	12.8378645448969
120	FTL	12.709367653883
121	CD3E	12.659671730443
122	RPL37A	12.4417630346473
123	RPL13A	12.4064263802626
124	SRGN	12.3962062201087
125	RPL36	12.2369450292898
126	UBA52	12.1966581614369
127	PTPRCAP	12.0808367182239
128	NACA	12.0251286588417
129	UBC	11.9917672418435
130	RPL41	11.6807927247782
131	RPL24	11.6774025998527
132	RPL21	11.6450764528339
133	ZFP36L2	11.6178329604486
134	CD7	11.6107984465597
135	ATP5F1E	11.5921485193197
136	ARPC1B	11.5020691676548
137	CALM1	11.4469287562427
138	CHCHD2	11.4148344023335
139	MT-ND3	11.3559384392222
140	RPL4	11.3284249892934
141	MT-ND1	11.2761457499528
142	YBX1	11.1393335516758
143	RAN	10.9994843917699
144	OAZ1	10.7265364226293
145	CD3D	10.6084604334686
146	SLC25A5	10.5074412025006
147	MT-ND5	10.4284330036885
148	UBB	10.4223215107861
149	CLIC1	10.3817121775092
150	NPM1	10.1910951215777
151	RHOA	10.0851289000725
152	HLA-E	10.0764787318684
153	BTF3	9.95797433738717
154	CD69	9.94301366303719
155	H2AFV	9.92469712862347
156	RPS29	9.81497520534802
157	ARPC3	9.81273687588446
158	ATP5MG	9.80158325883428
159	RPL22	9.7858415400119
160	PTPRC	9.74557572252605
161	DUSP2	9.55496884942097
162	PABPC1	9.54524812508618
163	RARRES3	9.22465446422007
164	LDHA	9.07586029858639
165	EEF1D	9.06890937822677
166	PSMB9	8.87002426643432
167	PCBP1	8.84244086206057
168	RPL27	8.80916732648539
169	MT2A	8.7575809270505
170	ATP5MC2	8.75576060851101
171	COX8A	8.71135813748347
172	TPI1	8.69213242501548
173	EEF2	8.67419546441788
174	RPL9	8.58665456227262
175	COX4I1	8.46967847833657
176	PPDPF	8.39157027964925
177	LSP1	8.3864025143792
178	CYBA	8.38071991615748
179	PSME1	8.37975020086938
180	SUMO2	8.3487838817676
181	YWHAZ	8.29299765325127
182	IFITM1	8.17288313276407
183	SARAF	8.12764245247279
184	LINC02446	8.11937315235808
185	EEF1B2	8.08357657563648
186	TNFAIP3	8.02158420806167
187	CD99	7.9763155402163
188	CNN2	7.94903292586391
189	ZFP36	7.89513600887009
190	CALM2	7.85452363257201
191	PSME2	7.68101199316903
192	RPL7	7.66640296971437
193	COX6A1	7.55466295759673
194	JUNB	7.55187713172039
195	BTG1	7.54406231797136
196	TMA7	7.4765718776296
197	HINT1	7.46811886688397
198	CALM3	7.4456249526331
199	EEF1G	7.35611923687764
200	TUBB4B	7.34385383598664
201	MYL12B	7.20934791011059
202	LDHB	7.19849338133092
203	SUB1	7.18017830133146
204	ANP32B	7.1696099779129
205	FOS	7.14625864617653
206	S100A6	7.09841576608517
207	LCP1	7.09107876639292
208	SRP14	7.04436904171481
209	PPIB	7.01710918079008
210	NFKBIA	6.86907381697697
211	UBE2C	6.8670028603935
212	ENO1	6.77590989565833
213	S100A10	6.74723624848131
214	HSP90AB1	6.72654723075315
215	TAGLN2	6.68464006564925
216	SLC25A6	6.67567792639968
217	YWHAB	6.65817505013933
218	RGS1	6.61817505274847
219	RPL31	6.60901884738869
220	LAPTM5	6.53312461910185
221	PPP1CA	6.52282943082415
222	TPM3	6.50734189622812
223	RPS11	6.47037963578852
224	HMGN1	6.45832062858688
225	MIF	6.43468336077895
226	CCNI	6.42214169913561
227	TYMS	6.4118002802007
228	RPL36AL	6.37675400266312
229	ATP5MC3	6.36088760020244
230	PCBP2	6.33990558891272
231	CALR	6.3317261991996
232	PKM	6.2674548425721
233	JPT1	6.20172610862018
234	MKI67	6.19878371101124
235	COX6C	6.1562444966171
236	CD2	6.10525141519791
237	KLF6	6.05665021002271
238	ARL6IP1	5.97434661685968
239	ANXA1	5.96039890198194
240	RPL27A	5.95585393378357
241	GMFG	5.94431784127522
242	ARPC5	5.9305923672812
243	ATP5F1B	5.92305384205808
244	LGALS1	5.90283891313229
245	CAPZB	5.89619547072732
246	COX7C	5.83472314281602
247	LIMD2	5.76532802241687
248	EVL	5.76310473939968
249	FYB1	5.75886349359258
250	PSMB8	5.70425481421166
251	TPM4	5.68186881509087
252	SRSF7	5.67214642024539
253	HNRNPF	5.66830237669192
254	HNRNPK	5.64907921971156
255	CD8B	5.62361399001042
256	ID2	5.58510544289063
257	ALDOA	5.58398488959249
258	SNRPD2	5.58153585847924
259	ACTR3	5.55709888503198
260	DEK	5.55656924553158
261	PSMA7	5.54620237221989
262	LCK	5.50675359064942
263	DUT	5.49688864938458
264	PGK1	5.46763816271808
265	SLC25A3	5.46750078475907
266	DUSP1	5.45960000038625
267	RPL38	5.4217822366319
268	IDH2	5.39492434840577
269	CAP1	5.3052191909436
270	EIF3K	5.29261877138531
271	MT-ND4	5.24398841005473
272	COX6B1	5.18831858339618
273	TSC22D3	5.14660122262052
274	UBE2D3	5.1203305353917
275	HLA-DRB1	5.09947818533013
276	JUN	5.08606831017477
277	GNG5	5.00809460766768
278	TRBC2	4.99120415477122
279	PGAM1	4.97606439437001
280	HNRNPA3	4.97513017228334
281	IFITM2	4.96648045207273
282	UBL5	4.96563825646259
283	H2AFX	4.95900262675644
284	TMBIM6	4.94531164685934
285	PARK7	4.92524744910918
286	HNRNPC	4.91761763190535
287	DYNLL1	4.90413666365147
288	PRF1	4.88457167918569
289	CDK2AP2	4.88091639497817
290	CCL3	4.87462511060764
291	FKBP1A	4.82631944285391
292	CENPF	4.82466167783237
293	DNAJB1	4.80724583944656
294	COX5A	4.7725216281468
295	LY6E	4.74995546373655
296	PTTG1	4.74187957930623
297	PTGES3	4.72663577566413
298	NDUFA4	4.7026140794654
299	HCST	4.6981284969381
300	PFDN5	4.69141898756226
301	SRSF3	4.66482493748392
302	GABARAP	4.65786190004343
303	CST7	4.65146490597618
304	TRIR	4.60549502766115
305	SLC9A3R1	4.58463333889129
306	ITM2B	4.5779884006556
307	ELOB	4.57324696187321
308	WDR1	4.53522317648309
309	GIMAP7	4.53190246026634
310	IFNG	4.49084969492649
311	CKS2	4.48511933483601
312	COX7A2	4.47986260956776
313	RAD21	4.47576603155014
314	MT-ND2	4.4695866671299
315	SNRPB	4.45543430434128
316	EIF3F	4.43660387021292
317	PSMB10	4.42052806058564
318	NCL	4.41300598498781
319	HSPA1A	4.37171807820602
320	TOP2A	4.34473195230991
321	ABRACL	4.3432501428397
322	ISG20	4.33892550205624
323	NME2	4.33879457638029
324	IRF1	4.33141305643922
325	GUK1	4.31713604202448
326	ZFP36L1	4.31164719801157
327	UQCRB	4.29949356752112
328	PPP1R18	4.28903337152552
329	SMC4	4.28704876861145
330	TUBA1C	4.26252703475292
331	UQCRH	4.24577771349966
332	SNRPG	4.24417223864467
333	DBI	4.24401352001373
334	CYTIP	4.24363741900969
335	HNRNPDL	4.21321906766735
336	NUCKS1	4.20220351605354
337	ARF1	4.18150309492169
338	LAG3	4.16849980236763
339	COX5B	4.16484770481931
340	KLF2	4.16097698464931
341	UCP2	4.16067961697759
342	CLEC2B	4.15862065641137
343	SEPT1	4.13051310807738
344	DAZAP2	4.11805511448136
345	SRSF2	4.11595914496345
346	DDX5	4.11111769748568
347	LRRFIP1	4.04553436905454
348	ATP5MF	4.01684855734545
349	MZT2B	3.99858224045283
350	BUB3	3.99637561695625
351	ATP5F1D	3.98808104521332
