p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
1.177842230314e-56	3.05869543495941	0.313	0.044	3.95024727202709e-52	AL157402.2	Colitis
3.95208404151307e-50	1.95920109848696	0.62	0.265	1.32544994584265e-45	FKBP5	Colitis
2.52186334947163e-44	0.553935812990463	1	1	8.45782530145797e-40	HLA-B	Colitis
3.89862986500248e-40	1.20406134096986	0.828	0.57	1.30752248412453e-35	ISG20	Colitis
2.39611748697666e-38	-0.59975367371665	1	1	8.03609882782232e-34	ACTB	Colitis
3.62744667580256e-37	-0.680239084333487	0.963	0.996	1.21657306613066e-32	IL32	Colitis
5.29934848788088e-31	0.62435210935804	1	0.982	1.77729549586549e-26	SRGN	Colitis
5.97787444109781e-31	0.647681018179421	0.994	0.993	2.00485953005538e-26	BTG1	Colitis
1.77494652909409e-30	-0.726878697140344	0.989	0.999	5.95281566927575e-26	FOS	Colitis
3.05418435120658e-30	0.756527466256352	0.969	0.814	1.02431234770766e-25	CXCR4	Colitis
5.01049211531411e-26	-1.93281005177696	0.211	0.51	1.68041884563405e-21	LGALS1	Colitis
4.55129412281923e-25	0.599975740612736	0.994	0.987	1.52641302291111e-20	ZFP36L2	Colitis
7.89311634676008e-25	1.20252214263401	0.603	0.349	2.6471933603764e-20	SMAP2	Colitis
7.45020493506236e-24	0.497760590262484	0.992	0.982	2.49864973112121e-19	IL7R	Colitis
7.26538915991948e-23	4.19385501824105	0.065	0.001	2.43666621645379e-18	IGKV3D-20	Colitis
1.27480738104753e-22	1.79188655305088	0.468	0.23	4.2754489945572e-18	KLF2	Colitis
2.07427104227771e-21	2.19600348481963	0.152	0.029	6.956690221591e-17	HLA-DRB1	Colitis
2.93509918269109e-21	1.0914178913418	0.572	0.328	9.84373563890937e-17	STAT1	Colitis
3.1208754582069e-20	-0.997119530706449	0.665	0.799	1.04667921117343e-15	CCL5	Colitis
3.58806409953878e-20	2.00324015803155	0.189	0.048	1.20336493770331e-15	ZBTB16	Colitis
1.38598022789069e-18	3.52797252213633	0.085	0.008	4.64830048829981e-14	NPDC1	Colitis
1.41678583111738e-18	0.728905862713021	1	0.999	4.75161632040147e-14	FTH1	Colitis
1.72298754607406e-18	-0.594073445806142	0.834	0.926	5.7785556320232e-14	FYB1	Colitis
3.48282120540946e-18	-0.28214428161341	1	1	1.16806857587023e-13	RPS14	Colitis
6.55368651785456e-18	1.28696442263253	0.594	0.413	2.19797538435806e-13	CREM	Colitis
6.60636417785608e-18	2.70404975056023	0.115	0.02	2.21564241796937e-13	SELL	Colitis
7.95511725865664e-18	1.13243479658992	0.659	0.459	2.66798722620826e-13	NFKBIZ	Colitis
8.99630148139601e-18	-0.440807439883808	0.992	0.999	3.01717959083059e-13	ACTG1	Colitis
1.1433821710866e-16	-2.0330877647095	0.161	0.382	3.83467512539023e-12	EGR1	Colitis
4.33894387187937e-16	-0.489983545506172	0.972	0.978	1.4551949957509e-11	S100A4	Colitis
4.89586973393446e-16	1.42617024161347	0.237	0.086	1.64197679136694e-11	ATF3	Colitis
7.28472287425373e-16	-0.421877125136728	0.994	0.991	2.44315035756722e-11	DUSP1	Colitis
1.42965330522911e-15	-0.686598409301202	0.825	0.916	4.79477125507739e-11	FOSB	Colitis
4.02571204595406e-15	-0.642633477685819	0.566	0.767	1.35014330597207e-10	SUN2	Colitis
4.12148752496136e-15	1.37308062360305	0.439	0.249	1.38226448612154e-10	AREG	Colitis
4.97223032638163e-15	1.25731688864326	0.4	0.215	1.66758660686187e-10	PDE3B	Colitis
7.27456990704649e-15	1.07812211716233	0.575	0.399	2.43974525542525e-10	CD55	Colitis
8.80327409470942e-15	-0.359608354718257	0.994	0.999	2.95244206588364e-10	PFN1	Colitis
1.17956150609899e-14	-1.47331502372413	0.197	0.403	3.95601337915478e-10	CTSW	Colitis
1.28119184128428e-14	0.308047126936975	1	1	4.29686119729923e-10	RPL8	Colitis
2.05292360716732e-14	-0.354471329462155	0.994	0.999	6.88509519371777e-10	HLA-C	Colitis
5.22545319174287e-14	1.4627000467125	0.366	0.196	1.75251249144672e-09	DUSP5	Colitis
9.97223843402975e-14	-1.67016286050827	0.189	0.389	3.3444893260049e-09	AC020571.1	Colitis
5.09700728440263e-13	-1.14912501222325	0.194	0.394	1.70943430304296e-08	RNPEPL1	Colitis
1.48666163684993e-12	-2.19394692341522	0.056	0.217	4.98596579766731e-08	LRRN3	Colitis
1.75105335486089e-12	-0.535765725311989	0.792	0.867	5.87268274153246e-08	LCP1	Colitis
1.86481457637203e-12	0.679541029609211	0.885	0.773	6.2542151262365e-08	NFKBIA	Colitis
2.14710711337147e-12	0.719818986694981	0.685	0.508	7.20096783682525e-08	SYTL3	Colitis
2.79379602412549e-12	-0.632312490642285	0.572	0.717	9.36983310571206e-08	ANXA6	Colitis
3.64436808412067e-12	0.557719865530379	0.803	0.674	1.22224816805239e-07	CCND3	Colitis
5.07865776460759e-12	-0.550040684377131	0.623	0.779	1.70328024109409e-07	OSTF1	Colitis
8.0623818360566e-12	-0.853516800917299	0.265	0.465	2.70396162017666e-07	LY9	Colitis
8.73039342716089e-12	-0.633295046308437	0.555	0.723	2.92799934760122e-07	CKLF	Colitis
1.13817296336494e-11	-0.930709449801386	0.228	0.424	3.81720448453334e-07	ESYT1	Colitis
1.2261673615914e-11	0.745818511353938	0.98	0.968	4.11232009730524e-07	HSP90AA1	Colitis
2.03332972226811e-11	-0.658624686670437	0.541	0.686	6.81938122254277e-07	IL16	Colitis
2.0487561425351e-11	-0.226609869714006	1	1	6.87111835083421e-07	TMSB4X	Colitis
3.14257114379863e-11	-0.483022259263453	0.642	0.801	1.05395551020718e-06	LAT	Colitis
3.32526304596735e-11	-0.845555693603148	0.31	0.494	1.11522672035653e-06	CD63	Colitis
3.40003203996755e-11	-0.567653458815912	0.521	0.707	1.14030274556432e-06	TAPBP	Colitis
3.72178227508541e-11	-1.06311979981641	0.293	0.466	1.24821133941815e-06	CAPG	Colitis
3.84870252859959e-11	-0.589166786528379	0.586	0.739	1.29077785404173e-06	PKM	Colitis
4.33962896250558e-11	0.53027757818808	0.825	0.761	1.45542476144512e-06	PSMB9	Colitis
4.42909600305101e-11	0.79768093389343	0.645	0.478	1.48543021750325e-06	AC016831.7	Colitis
4.464264788171e-11	-1.28192608857476	0.146	0.321	1.49722512465679e-06	CISH	Colitis
5.55444419968191e-11	1.01721310058416	0.282	0.138	1.86284949568932e-06	RASA3	Colitis
7.29081566843411e-11	1.26298984451301	0.31	0.168	2.44519375887943e-06	ARID5B	Colitis
7.71193633341862e-11	1.62339208721501	0.163	0.061	2.58642920750194e-06	IFI44L	Colitis
9.12621227020239e-11	-0.359318310172187	0.901	0.957	3.06074907118048e-06	EVL	Colitis
9.60837618571542e-11	0.702533889115371	0.676	0.515	3.22245720516524e-06	RGS1	Colitis
1.31908946355278e-10	-0.392491247299403	0.87	0.903	4.42396224286331e-06	LSP1	Colitis
1.34914090548968e-10	0.430119066009417	0.966	0.943	4.52474876883129e-06	TNFAIP3	Colitis
1.64914293924237e-10	1.75714347610384	0.138	0.047	5.53089558963106e-06	IRF4	Colitis
1.69033486317996e-10	1.65196123941178	0.149	0.053	5.66904506413296e-06	TP53INP1	Colitis
1.81123266629471e-10	-0.577356739907527	0.597	0.726	6.07451211621921e-06	SKAP1	Colitis
1.81363848957562e-10	-0.634647678682752	0.499	0.65	6.08258076633871e-06	ITGB2	Colitis
1.83824573762685e-10	3.47138899376996	0.045	0.004	6.16510855485292e-06	MYO1B	Colitis
1.94305088485019e-10	1.76356974526327	0.152	0.056	6.51660405761057e-06	DUSP10	Colitis
1.94612320765664e-10	-0.914497104422253	0.2	0.383	6.52690801383883e-06	GPR174	Colitis
2.0311192332002e-10	-1.14004571831239	0.192	0.36	6.81196768430682e-06	ITGA1	Colitis
